model,seed,mse,rmse,mae,r2,train_time_s,infer_time_s,n_test_samples,wall_train_start_iso,wall_train_end_iso,wall_infer_start_iso,wall_infer_end_iso
Elastic Net +NLP,0,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.00048065185546875,6.699562072753906e-05,622,2026-05-07T22:54:10.077205+00:00,2026-05-07T22:54:10.077691+00:00,2026-05-07T22:54:10.077696+00:00,2026-05-07T22:54:10.077765+00:00
Elastic Net,1,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.00048351287841796875,6.604194641113281e-05,622,2026-05-07T22:54:10.078322+00:00,2026-05-07T22:54:10.078810+00:00,2026-05-07T22:54:10.078815+00:00,2026-05-07T22:54:10.078883+00:00
Elastic Net +NLP,1,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0005643367767333984,8.058547973632812e-05,622,2026-05-07T22:54:10.079440+00:00,2026-05-07T22:54:10.080010+00:00,2026-05-07T22:54:10.080015+00:00,2026-05-07T22:54:10.080099+00:00
Elastic Net,2,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0006341934204101562,8.511543273925781e-05,622,2026-05-07T22:54:10.080802+00:00,2026-05-07T22:54:10.081442+00:00,2026-05-07T22:54:10.081448+00:00,2026-05-07T22:54:10.081537+00:00
Elastic Net +NLP,2,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0006570816040039062,9.369850158691406e-05,622,2026-05-07T22:54:10.082254+00:00,2026-05-07T22:54:10.082917+00:00,2026-05-07T22:54:10.082924+00:00,2026-05-07T22:54:10.083021+00:00
Elastic Net,3,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0006577968597412109,9.226799011230469e-05,622,2026-05-07T22:54:10.083803+00:00,2026-05-07T22:54:10.084468+00:00,2026-05-07T22:54:10.084474+00:00,2026-05-07T22:54:10.084570+00:00
Elastic Net +NLP,3,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.00072479248046875,9.799003601074219e-05,622,2026-05-07T22:54:10.085333+00:00,2026-05-07T22:54:10.086064+00:00,2026-05-07T22:54:10.086072+00:00,2026-05-07T22:54:10.086174+00:00
Elastic Net,4,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0007121562957763672,9.989738464355469e-05,622,2026-05-07T22:54:10.087024+00:00,2026-05-07T22:54:10.087743+00:00,2026-05-07T22:54:10.087750+00:00,2026-05-07T22:54:10.087854+00:00
Elastic Net +NLP,4,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0007660388946533203,9.989738464355469e-05,622,2026-05-07T22:54:10.088713+00:00,2026-05-07T22:54:10.089487+00:00,2026-05-07T22:54:10.089494+00:00,2026-05-07T22:54:10.089598+00:00
Elastic Net,5,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0007174015045166016,0.00010228157043457031,622,2026-05-07T22:54:10.090440+00:00,2026-05-07T22:54:10.091165+00:00,2026-05-07T22:54:10.091172+00:00,2026-05-07T22:54:10.091278+00:00
