model,seed,accuracy,f1,train_time_s,infer_time_s,n_test_samples,wall_train_start_iso,wall_train_end_iso,wall_infer_start_iso,wall_infer_end_iso,energy_train_cpu_kwh,energy_train_gpu_kwh,energy_train_kwh,energy_train_duration_s,energy_train_n_samples,energy_infer_cpu_kwh,energy_infer_gpu_kwh,energy_infer_kwh,energy_infer_duration_s,energy_infer_n_samples
RoBERTa-base,0,0.4261586802827965,0.2844866297161717,48.61347317695618,0.8818597793579102,2546,2026-05-07T22:36:28.779707+00:00,2026-05-07T22:37:17.393194+00:00,2026-05-07T22:37:18.258353+00:00,2026-05-07T22:37:19.140219+00:00,0.0005891411426502083,0.0040061223239401395,0.0045952634665903476,48.613487,49,1.1833832417315592e-05,6.709804841644444e-05,7.893188083376004e-05,0.881866,5
RoBERTa-base,1,0.4363707776904948,0.2651396959333551,48.7372510433197,0.90209698677063,2546,2026-05-07T22:37:19.737892+00:00,2026-05-07T22:38:08.475161+00:00,2026-05-07T22:38:09.347931+00:00,2026-05-07T22:38:10.250038+00:00,0.0005979774384290065,0.003992702565541111,0.004590680003970117,48.737269,49,1.2036152859725304e-05,6.814676652577778e-05,8.018291938550308e-05,0.902107,5
RoBERTa-base,2,0.4363707776904948,0.2651396959333551,48.832515001297,0.8963704109191895,2546,2026-05-07T22:38:10.931232+00:00,2026-05-07T22:38:59.763771+00:00,2026-05-07T22:39:00.632438+00:00,2026-05-07T22:39:01.528815+00:00,0.0005933572407191622,0.0039803481668397225,0.004573705407558885,48.832539,49,1.2078057382587738e-05,6.801384984305556e-05,8.00919072256433e-05,0.896377,5
RoBERTa-base,3,0.4265514532600157,0.286615198200747,48.983577251434326,0.8962512016296387,2546,2026-05-07T22:39:02.149395+00:00,2026-05-07T22:39:51.132990+00:00,2026-05-07T22:39:52.012096+00:00,2026-05-07T22:39:52.908355+00:00,0.0005909250367580239,0.003991731713706388,0.004582656750464412,48.983595,49,1.2086467266767621e-05,7.127863180316669e-05,8.33650990699343e-05,0.896259,5
RoBERTa-base,4,0.4230164964650432,0.2863237372532924,48.99293923377991,0.9214670658111572,2546,2026-05-07T22:39:53.539676+00:00,2026-05-07T22:40:42.532639+00:00,2026-05-07T22:40:43.415670+00:00,2026-05-07T22:40:44.337143+00:00,0.0006100737294478402,0.003996692263239861,0.004606765992687701,48.992963,49,1.276219415417376e-05,7.243177084966668e-05,8.519396500384044e-05,0.921473,5
RoBERTa-base,5,0.4363707776904948,0.2651396959333551,49.0868661403656,0.9218175411224364,2546,2026-05-07T22:40:45.017792+00:00,2026-05-07T22:41:34.104672+00:00,2026-05-07T22:41:34.981991+00:00,2026-05-07T22:41:35.903814+00:00,0.0006122219276117828,0.00400074254532125,0.004612964472933033,49.08688,49,1.2230410457557291e-05,6.753920574099999e-05,7.976961619855728e-05,0.921823,5
RoBERTa-base,6,0.4359780047132757,0.276329994279013,49.11880588531494,0.9299485683441162,2546,2026-05-07T22:41:36.554722+00:00,2026-05-07T22:42:25.673541+00:00,2026-05-07T22:42:26.570443+00:00,2026-05-07T22:42:27.500398+00:00,0.0006184131638357212,0.003993164905375417,0.0046115780692111375,49.118819,49,1.115761266090422e-05,6.986478094916664e-05,8.102239361007086e-05,0.929955,5
RoBERTa-base,7,0.4344069128043991,0.2823293327195691,49.02987003326416,0.940838098526001,2546,2026-05-07T22:42:28.195916+00:00,2026-05-07T22:43:17.225809+00:00,2026-05-07T22:43:18.133556+00:00,2026-05-07T22:43:19.074400+00:00,0.0005931926728748883,0.003988870075461111,0.004582062748335999,49.029893,49,1.1683907919269066e-05,6.882786097288891e-05,8.051176889215798e-05,0.940844,5
RoBERTa-base,8,0.427336999214454,0.2839955816783352,49.08701038360596,0.926417350769043,2546,2026-05-07T22:43:19.742108+00:00,2026-05-07T22:44:08.829133+00:00,2026-05-07T22:44:09.717682+00:00,2026-05-07T22:44:10.644105+00:00,0.0005948908270379747,0.0039865036480802776,0.004581394475118252,49.087025,49,1.2615656384849945e-05,6.939181050105555e-05,8.20074668859055e-05,0.926423,5
RoBERTa-base,9,0.4340141398271799,0.2774843753223488,49.16027617454529,0.9595901966094972,2546,2026-05-07T22:44:11.301451+00:00,2026-05-07T22:45:00.461745+00:00,2026-05-07T22:45:01.372770+00:00,2026-05-07T22:45:02.332366+00:00,0.0005886610047408762,0.003978357300080556,0.004567018304821432,49.160294,49,1.3058692359249315e-05,7.416264341444444e-05,8.722133577369376e-05,0.959596,5
