timestamp_iso,cpu_energy_j,gpu_power_w,gpu_util_pct
2026-05-07T23:46:44.489980Z,103341.955048,25.213,0
2026-05-07T23:46:45.491513Z,103344.769372,24.923,0
2026-05-07T23:46:46.493054Z,103347.218828,25.044,0
2026-05-07T23:46:47.494570Z,103349.915599,25.027,0
2026-05-07T23:46:48.496100Z,103352.443546,25.288,0
2026-05-07T23:46:49.497654Z,103355.304562,25.476,0
2026-05-07T23:46:50.499195Z,103357.813345,25.045,0
2026-05-07T23:46:51.500727Z,103360.502608,25.203,0
2026-05-07T23:46:52.502260Z,103362.927223,25.552,0
2026-05-07T23:46:53.503769Z,103365.470491,25.489,0
2026-05-07T23:46:54.505295Z,103367.919154,25.816,0
2026-05-07T23:46:55.506810Z,103370.501117,25.147,0
2026-05-07T23:46:56.508341Z,103372.956128,24.81,0
2026-05-07T23:46:57.509872Z,103375.689947,25.243,0
2026-05-07T23:46:58.511420Z,103378.232604,25.207,0
2026-05-07T23:46:59.512946Z,103380.999504,24.896,0
2026-05-07T23:47:00.514481Z,103383.514939,25.023,0
2026-05-07T23:47:01.515474Z,103386.192972,24.63,0
2026-05-07T23:47:02.516994Z,103388.620456,24.471,0
2026-05-07T23:47:03.518502Z,103393.57369,24.365,0
2026-05-07T23:47:04.519457Z,103396.023391,24.569,0
2026-05-07T23:47:05.520961Z,103398.687264,24.634,0
2026-05-07T23:47:06.522486Z,103401.152711,24.686,0
2026-05-07T23:47:07.523998Z,103403.714411,25.004,0
2026-05-07T23:47:08.525522Z,103406.28722,25.511,5
2026-05-07T23:47:09.526991Z,103409.171612,25.436,0
2026-05-07T23:47:10.528495Z,103411.808324,25.087,1
2026-05-07T23:47:11.529903Z,103414.453275,24.976,0
2026-05-07T23:47:12.530815Z,103416.887107,24.864,0
2026-05-07T23:47:13.532330Z,103419.438492,25.002,0
2026-05-07T23:47:14.533860Z,103421.891306,25.118,0
2026-05-07T23:47:15.535394Z,103424.49158,24.915,0
2026-05-07T23:47:16.536925Z,103426.950985,25.003,0
2026-05-07T23:47:17.538439Z,103429.607472,25.271,0
2026-05-07T23:47:18.539960Z,103432.306562,24.827,0
2026-05-07T23:47:19.541497Z,103435.263769,25.251,0
2026-05-07T23:47:20.543025Z,103437.773772,24.962,0
2026-05-07T23:47:21.544509Z,103440.422813,25.014,0
2026-05-07T23:47:22.545909Z,103442.851213,24.678,0
2026-05-07T23:47:23.547395Z,103445.67872,24.738,0
2026-05-07T23:47:24.548220Z,103449.825194,24.496,0
2026-05-07T23:47:25.549769Z,103453.226736,24.789,0
2026-05-07T23:47:26.551309Z,103455.704391,24.371,0
2026-05-07T23:47:27.552838Z,103458.320839,24.655,0
2026-05-07T23:47:28.553841Z,103461.034394,24.646,0
2026-05-07T23:47:29.554950Z,103463.926843,24.815,0
2026-05-07T23:47:30.555488Z,103466.448137,24.885,0
2026-05-07T23:47:31.557010Z,103469.124522,25.265,0
2026-05-07T23:47:32.558550Z,103471.577458,25.008,0
2026-05-07T23:47:33.560066Z,103474.13928,24.691,0
2026-05-07T23:47:34.561580Z,103476.580192,24.909,0
2026-05-07T23:47:35.563090Z,103479.220199,25.104,0
2026-05-07T23:47:36.564630Z,103481.685464,25.291,0
2026-05-07T23:47:37.566131Z,103484.229952,25.28,0
